Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO2 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),Location,Month,Day,DayOfWeek,Season,Dispersion,AQI,AQI_Category
01-11-2025,51.28,187.46,42.53,9.94,0.74,69.07333333,23.14,65.8,0.92,161.33,Thane,1,11,5,Winter,21.2888,158.0,Moderate
01-11-2025,54.58,136.42,34.35,12.88,0.7,62.4,33.91,67.07,0.79,150.81,Badlapur,1,11,5,Winter,26.7889,125.0,Moderate
01-11-2025,65.31,152.12,5.7,4.75,0.19,15.7,26.49,67.45,0.8,184.06,Kalyan,1,11,5,Winter,21.192,135.0,Moderate
01-11-2025,40.68,115.83,13.71,8.61,0.75,44.59,27.12,67.3,0.99,179.05,Boisar,1,11,5,Winter,26.8488,111.0,Moderate
01-11-2025,97.2386,199.2,9.19,12.97,0.39,35.16,21.55,53.67,0.37,106.93,Malegaon,1,11,5,Winter,7.9735,222.0,Poor
01-11-2025,49.13,127.75,28.87,11.19,0.56,55.29,25.85,60.36,0.82,115.11,Parbhani,1,11,5,Winter,21.197,119.0,Moderate
01-11-2025,82.36,169.23,13.11,6.34,1.22,57.62,23.09,55.47,0.55,163.54,Nashik,1,11,5,Winter,12.6995,174.0,Moderate
01-11-2025,92.05,166.48,34.22,3.72,0.72,27.2,22.4,68.45,0.51,168.82,Aurangabad,1,11,5,Winter,11.424,205.0,Poor
01-11-2025,67.3,163.16,27.77,29.85,0.45,49.77,21.38,52.49,0.73,140.74,Chandrapur,1,11,5,Winter,15.6074,142.0,Moderate
01-11-2025,77.23,148.23,14.6,0.91,0.56,25.48,21.85,56.47,0.53,183.63,Jalna,1,11,5,Winter,11.5805,156.0,Moderate
01-11-2025,67.3,163.16,27.77,29.85,0.45,49.77,21.38,52.49,0.73,140.74,Nagpur,1,11,5,Winter,15.6074,142.0,Moderate
01-11-2025,71.9,142.47,31.7,6.9,0.63,46.64,20.09,52.47,1.02,169.3,Jalgaon,1,11,5,Winter,20.4918,138.0,Moderate
01-11-2025,49.11,121.67,22.02,11.05,0.63,33.34,24.01,58.01,1.85,104.51,Akola,1,11,5,Winter,44.4185,115.0,Moderate
01-11-2025,60.11,126.49,27.74,12.63,0.67,47.96,26.3,66.83,0.94,142.25,Solapur,1,11,5,Winter,24.722,,Severe
01-11-2025,41.06,118.16,27.37,3.62,0.7,38.68,22.28,62.98,0.36,211.61,Pune,1,11,5,Winter,8.0208,112.0,Moderate
01-11-2025,73.99,124.45,19.63,4.22,0.8,26.44,22.87,55.37,0.44,158.54,Latur,1,11,5,Winter,10.0628,145.0,Moderate
01-11-2025,61.96,117.89,9.21,3.77,0.85,20.88,25.32,61.36,2.69,162.42,Kolhapur,1,11,5,Winter,68.1108,112.0,Moderate
01-11-2025,60.13,104.63,10.32,13.51,0.52,48.8,24.97,57.26,0.3,148.33,Amravati,1,11,5,Winter,7.491,,Severe
01-11-2025,65.46,140.94,29.46,15.96,0.43,55.1,25.67,61.69,1.01,203.6,Ulhasnagar,1,11,5,Winter,25.9267,128.0,Moderate
01-11-2025,55.16,162.23,13.67,2.22,0.43,62.53,27.01,62.17,1.45,115.69,Nanded,1,11,5,Winter,39.1645,142.0,Moderate
01-11-2025,43.43,145.31,46.7,0.77,1.12,56.83,21.32,65.52,1.26,146.75,Ahmednagar,1,11,5,Winter,26.8632,130.0,Moderate
01-11-2025,60.09,117.41,39.38,1.55,1.03,25.52,24.1,65.22,1.82,261.87,Pimpri Chinchwad,1,11,5,Winter,43.862,,Severe
01-11-2025,69.65,119.56,28.62,2.35,0.78,37.17,26.64,50.1,1.38,258.19,Navi Mumbai,1,11,5,Winter,36.7632,131.0,Moderate
01-11-2025,41.8,116.66,29.62,9.34,0.71,32.54,29.08,68.1,0.61,126.77,Sangli,1,11,5,Winter,17.7388,111.0,Moderate
01-12-2025,52.49,123.12,51.46,8.44,0.86,75.78,25.41,66.06,0.16,118.98,Mumbai,1,12,6,Winter,4.0656,116.0,Moderate
01-12-2025,73.72,131.83,32.82,5.2,0.57,31.03,23.08,64.09,2.08,263.04,Mira-Bhayandar,1,12,6,Winter,48.0064,144.0,Moderate
01-12-2025,55.0,89.68,22.3,16.96,0.6,69.31,25.99,85.3,1.49,148.13,Virar,1,12,6,Winter,38.7251,92.0,Satisfactory
01-12-2025,71.82,151.09,37.15,9.81,0.57,88.4306,26.14,58.26,1.74,273.57,Belapur,1,12,6,Winter,45.4836,138.0,Moderate
01-12-2025,44.42,87.25,5.87,5.84,0.39,59.21,21.82,67.2,2.08,184.31,Dhule,1,12,6,Winter,45.3856,87.0,Satisfactory
01-12-2025,60.4,132.72,20.17,12.0,0.48,44.36,24.39,53.49,1.63,109.3,Bhiwandi,1,12,6,Winter,39.7557,,Severe
01-12-2025,79.35,159.79,15.9,15.62,1.14,66.56,25.56,91.28,0.66,204.4,Mahad,1,12,6,Winter,16.8696,164.0,Moderate
01-12-2025,35.22,162.99,39.92,12.17,0.55,68.39666667,23.67,61.02,0.87,136.26,Thane,1,12,6,Winter,20.5929,142.0,Moderate
01-12-2025,52.4,128.37,33.17,9.93,0.62,48.16,35.59,66.99,0.73,157.07,Badlapur,1,12,6,Winter,25.9807,119.0,Moderate
01-12-2025,53.82,132.82,4.6,3.83,0.15,15.77,26.49,67.45,0.8,178.63,Kalyan,1,12,6,Winter,21.192,122.0,Moderate
01-12-2025,32.81,102.55,12.64,14.19,0.48,49.89,27.53,58.08,1.0,203.72,Boisar,1,12,6,Winter,27.53,102.0,Moderate
01-12-2025,75.64,126.88,4.84,16.18,0.3,45.46,21.13,52.98,0.5,133.87,Malegaon,1,12,6,Winter,10.565,151.0,Moderate
01-12-2025,39.37,102.34,22.56,9.24,0.56,53.16,26.46,63.22,0.84,116.09,Parbhani,1,12,6,Winter,22.2264,102.0,Moderate
01-12-2025,89.28,195.52,12.17,22.14,0.88,83.45,23.28,55.46,0.44,114.69,Nashik,1,12,6,Winter,10.2432,198.0,Moderate
01-12-2025,97.2386,177.38,30.68,3.52,0.68,31.89,23.03,70.81,0.54,243.23,Aurangabad,1,12,6,Winter,12.4362,222.0,Poor
01-12-2025,66.96,153.35,27.82,23.7,0.34,39.39,22.25,54.52,0.81,166.55,Chandrapur,1,12,6,Winter,18.0225,136.0,Moderate
01-12-2025,64.88,108.24,14.52,1.0,0.42,14.5,24.17,54.68,0.58,119.66,Jalna,1,12,6,Winter,14.0186,114.0,Moderate
01-12-2025,66.96,153.35,27.82,23.7,0.34,39.39,22.25,54.52,0.81,166.55,Nagpur,1,12,6,Winter,18.0225,136.0,Moderate
01-12-2025,79.49,146.22,25.91,4.98,0.74,40.58,20.53,58.78,0.95,158.1,Jalgaon,1,12,6,Winter,19.5035,164.0,Moderate
01-12-2025,49.08,110.32,17.26,10.96,0.6,31.01,24.98,63.48,1.34,97.26,Akola,1,12,6,Winter,33.4732,107.0,Moderate
01-12-2025,51.07,110.92,29.92,22.32,0.64,41.92,27.42,65.07,0.82,144.88,Solapur,1,12,6,Winter,22.4844,108.0,Moderate
01-12-2025,37.73,106.38,23.14,3.57,0.56,32.84,23.02,64.89,0.35,196.23,Pune,1,12,6,Winter,8.057,105.0,Moderate
01-12-2025,61.01,111.3,21.26,4.95,0.51,24.51,23.7,56.47,0.35,161.59,Latur,1,12,6,Winter,8.295,108.0,Moderate
01-12-2025,53.81,104.39,8.4,2.25,0.82,16.6,25.26,64.87,2.8,150.08,Kolhapur,1,12,6,Winter,70.728,103.0,Moderate
01-12-2025,64.22,122.38,12.28,12.88,0.64,37.16,25.59,63.66,0.3,164.04,Amravati,1,12,6,Winter,7.677,115.0,Moderate
01-12-2025,48.72,102.6,32.16,31.84,0.41,47.03,25.95,59.59,1.1,150.09,Ulhasnagar,1,12,6,Winter,28.545,102.0,Moderate
01-12-2025,46.53,136.84,8.17,3.21,0.43,66.58,27.27,63.55,1.02,135.22,Nanded,1,12,6,Winter,27.8154,125.0,Moderate
01-12-2025,41.5,81.11,26.34,1.28,0.55,85.67,22.47,63.56,0.98,186.49,Ahmednagar,1,12,6,Winter,22.0206,86.0,Satisfactory
01-12-2025,70.38,113.05,33.17,0.87,0.96,30.79,24.47,69.67,1.56,200.88,Pimpri Chinchwad,1,12,6,Winter,38.1732,133.0,Moderate
01-12-2025,55.52,95.65,24.86,2.82,0.71,44.98,27.16,45.4,1.96,305.94,Navi Mumbai,1,12,6,Winter,53.2336,96.0,Satisfactory
01-12-2025,45.97,130.13,29.95,9.56,0.79,47.565,29.25,68.49,0.62,123.55,Sangli,1,12,6,Winter,18.135,120.0,Moderate
01-13-2025,58.83,137.22,65.2374,4.62,1.12,48.44,28.18,64.81,0.39,107.34,Mumbai,1,13,0,Winter,10.9902,125.0,Moderate
